source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,Four people in Nevada viciously robbed and killed by an illegal immigrant who should not have been in our Country. 26 people killed on the Border in a drug and gang related fight. Two large Caravans from Honduras broke into Mexico and are headed our way. We need a powerful Wall!,01-21-2019 23:37:28,40389,153112,false,1.08749E+18
Twitter for iPhone,If Nancy Pelosi thinks that Walls are “immoral” why isn’t she requesting that we take down all of the existing Walls between the U.S. and Mexico even the new ones just built in San Diego at their very strong urging. Let millions of unchecked “strangers” just flow into the U.S.,01-21-2019 22:08:55,29631,128855,false,1.08747E+18
Twitter for iPhone,Mexico is doing NOTHING to stop the Caravan which is now fully formed and heading to the United States. We stopped the last two - many are still in Mexico but can’t get through our Wall but it takes a lot of Border Agents if there is no Wall. Not easy!,01-19-2019 14:09:37,32692,139239,false,1.08663E+18
Twitter for iPhone,I often said during rallies with little variation that “Mexico will pay for the Wall.” We have just signed a great new Trade Deal with Mexico. It is Billions of Dollars a year better than the very bad NAFTA deal which it replaces. The difference pays for Wall many times over!,01/11/2019 12:05,28752,129907,false,1.0837E+18
Twitter for iPhone,Mexico is paying for the Wall through the new USMCA Trade Deal. Much of the Wall has already been fully renovated or built. We have done a lot of work. $5.6 Billion Dollars that House has approved is very little in comparison to the benefits of National Security. Quick payback!,01/02/2019 13:35,28559,128491,false,1.08046E+18
Twitter for iPhone,MEXICO IS PAYING FOR THE WALL through the many billions of dollars a year that the U.S.A. is saving through the new Trade Deal the USMCA that will replace the horrendous NAFTA Trade Deal which has so badly hurt our Country. Mexico &amp; Canada will also thrive - good for all!,01/01/2019 00:40,23882,104440,false,1.0799E+18
Twitter for iPhone,.....close the Southern Border. Bring our car industry back into the United States where it belongs. Go back to pre-NAFTA before so many of our companies and jobs were so foolishly sent to Mexico. Either we build (finish) the Wall or we close the Border......,12-28-2018 12:49:26,25309,108158,false,1.07863E+18
Twitter for iPhone,....The United States looses soooo much money on Trade with Mexico under NAFTA over 75 Billion Dollars a year (not including Drug Money which would be many times that amount) that I would consider closing the Southern Border a “profit making operation.” We build a Wall or.....,12-28-2018 12:42:12,23736,101103,false,1.07863E+18
Twitter for iPhone,Mexico is paying (indirectly) for the Wall through the new USMCA the replacement for NAFTA! Far more money coming to the U.S. Because of the tremendous dangers at the Border including large scale criminal and drug inflow the United States Military will build the Wall!,12-19-2018 13:43:10,23954,98828,false,1.07539E+18
Twitter for iPhone,I often stated “One way or the other Mexico is going to pay for the Wall.” This has never changed. Our new deal with Mexico (and Canada) the USMCA is so much better than the old very costly &amp; anti-USA NAFTA deal that just by the money we save MEXICO IS PAYING FOR THE WALL!,12-13-2018 12:38:28,27554,117678,false,1.0732E+18
